19078	23807	10660	1144	2782	26486	9475	19020	30930	10643	
23559	18804	14852	10300	7819	13994	857	2967	24495	13793	
12552	9932	11913	16425	9457	11532	10007	8404	24369	14290	
28536	19927	1267	616	5468	8051	18824	32430	24506	11028	
28091	10007	26817	17785	18782	12788	5136	28693	4905	2549	
13609	13749	23237	12268	31267	14948	26915	27093	28320	651	
31506	25364	11007	13661	2577	8701	979	24178	5985	30361	
19859	29362	11615	18087	2195	7285	2833	23266	2354	4841	
11775	4482	28757	179	11844	6661	2069	15833	8420	7727	
22709	24799	29792	31824	2519	27440	31624	30405	25583	5312	
